epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7499,2.5528,3.14807,2.21718,0.02381,0.05769,0.01669,0.00565,4.39898,3.52077,3.43366,0,0,0
2,32.2962,2.51616,2.51571,2.26734,0.01,0.03846,0.0079,0.00206,4.5484,3.55897,3.59761,1.41485e-05,1.41485e-05,1.41485e-05
3,33.8881,2.84054,2.72221,2.41858,0.02717,0.07692,0.01605,0.00339,4.47091,3.67662,3.52636,2.80141e-05,2.80141e-05,2.80141e-05
4,34.26,2.56094,2.43596,2.08235,0.00968,0.05769,0.01421,0.0033,4.2327,3.5643,3.3602,4.15968e-05,4.15968e-05,4.15968e-05
5,34.6638,2.50299,2.4651,2.19874,0.022,0.11538,0.0331,0.00569,3.87554,3.70731,3.1836,5.48965e-05,5.48965e-05,5.48965e-05
6,35.0364,2.41093,2.44049,1.93467,0.02573,0.09615,0.03156,0.0034,3.53408,3.91059,3.1775,6.79132e-05,6.79132e-05,6.79132e-05
7,35.3998,2.57181,2.62168,2.43687,0.01562,0.01923,0.00873,0.00087,3.28315,4.06425,3.24649,8.0647e-05,8.0647e-05,8.0647e-05
8,35.7411,2.42507,2.46104,2.22843,0.00885,0.07692,0.00513,0.00051,3.17109,4.12421,3.26185,9.30979e-05,9.30979e-05,9.30979e-05
9,36.0843,2.31386,2.70558,2.05264,0,0,0,0,3.19649,4.15369,3.29417,0.000105266,0.000105266,0.000105266
10,36.4285,2.39337,2.51269,2.1994,0,0,0,0,3.18954,4.16043,3.29766,0.000117151,0.000117151,0.000117151
11,36.7859,2.09265,2.10822,1.95388,0,0,0,0,3.18576,4.16816,3.31729,0.000128753,0.000128753,0.000128753
12,37.1327,2.26325,2.52258,1.97945,0,0,0,0,3.18377,4.17299,3.32441,0.000140072,0.000140072,0.000140072
13,37.4836,1.98066,1.90138,1.85938,0,0,0,0,3.17941,4.17447,3.32368,0.000151108,0.000151108,0.000151108
14,37.8386,1.87646,1.69462,1.86562,0,0,0,0,3.17613,4.17809,3.32344,0.000161861,0.000161861,0.000161861
15,38.1837,1.8792,1.87335,1.94706,0,0,0,0,3.16126,4.1781,3.32113,0.000172332,0.000172332,0.000172332
16,38.6991,2.00892,2.03682,1.96148,0,0,0,0,3.14152,4.17489,3.31548,0.000182519,0.000182519,0.000182519
17,39.0485,1.88083,1.68141,1.7995,0,0,0,0,3.12575,4.17458,3.3113,0.000192423,0.000192423,0.000192423
18,39.374,1.89308,1.9396,1.77457,0,0,0,0,3.12575,4.17458,3.3113,0.000202045,0.000202045,0.000202045
19,39.754,1.82425,1.87115,1.91783,0,0,0,0,3.10288,4.17137,3.29954,0.000211383,0.000211383,0.000211383
20,40.0858,1.75412,1.71161,1.78976,0,0,0,0,3.10288,4.17137,3.29954,0.000220439,0.000220439,0.000220439
21,40.4344,1.7234,1.91722,1.83742,0,0,0,0,3.09652,4.17002,3.30766,0.000229212,0.000229212,0.000229212
22,40.7651,1.6937,1.56791,1.6734,0,0,0,0,3.09652,4.17002,3.30766,0.000237701,0.000237701,0.000237701
23,41.1273,1.60707,1.6872,1.76916,0,0,0,0,3.08376,4.1654,3.29821,0.000245908,0.000245908,0.000245908
24,41.4446,1.85078,1.67674,1.62114,0,0,0,0,3.08376,4.1654,3.29821,0.000253832,0.000253832,0.000253832
25,41.7949,2.0637,1.78456,1.61857,0,0,0,0,3.08868,4.15584,3.27942,0.000261473,0.000261473,0.000261473
26,42.1108,1.61553,1.49754,1.67281,0,0,0,0,3.08868,4.15584,3.27942,0.000268831,0.000268831,0.000268831
27,42.4568,2.17467,1.54124,1.61678,0,0,0,0,3.02696,4.12765,3.19586,0.000275906,0.000275906,0.000275906
28,42.8916,2.02437,1.55825,1.49869,0,0,0,0,3.02696,4.12765,3.19586,0.000282698,0.000282698,0.000282698
29,43.2286,1.71662,2.80336,1.73508,0.00495,0.01923,0.00257,0.00077,2.99899,4.10143,3.13871,0.000289207,0.000289207,0.000289207
30,43.5513,1.65438,1.69896,1.78812,0.00495,0.01923,0.00257,0.00077,2.99899,4.10143,3.13871,0.000295433,0.000295433,0.000295433
31,43.8743,1.56123,1.32283,1.57146,0.00472,0.01923,0.0027,0.00108,2.95708,4.08182,3.08401,0.000301376,0.000301376,0.000301376
32,44.1846,1.65262,1.78325,1.6811,0.00472,0.01923,0.0027,0.00108,2.95708,4.08182,3.08401,0.000307036,0.000307036,0.000307036
33,44.5174,1.69821,2.64785,1.66529,0.00806,0.05769,0.01285,0.00713,2.88618,4.03764,2.97373,0.000312414,0.000312414,0.000312414
34,44.8388,1.92945,1.9483,1.80644,0.00806,0.05769,0.01285,0.00713,2.88618,4.03764,2.97373,0.000317508,0.000317508,0.000317508
35,45.1703,1.52912,1.60719,1.71796,0.00792,0.05769,0.02175,0.01241,2.86202,4.02679,2.94067,0.00032232,0.00032232,0.00032232
36,45.4963,1.50805,1.66318,1.6871,0.00792,0.05769,0.02175,0.01241,2.86202,4.02679,2.94067,0.000326848,0.000326848,0.000326848
37,45.838,1.86091,2.06986,1.6905,0.00784,0.05769,0.02183,0.01435,2.8515,4.02589,2.92604,0.000331094,0.000331094,0.000331094
38,46.1653,1.64971,1.7633,1.75626,0.00784,0.05769,0.02183,0.01435,2.8515,4.02589,2.92604,0.000335056,0.000335056,0.000335056
39,46.4973,1.29662,1.34212,1.55758,0.00781,0.05769,0.02217,0.01445,2.83202,4.02064,2.90189,0.000338736,0.000338736,0.000338736
40,46.8225,1.76179,2.09555,1.47417,0.00781,0.05769,0.02217,0.01445,2.83202,4.02064,2.90189,0.000342133,0.000342133,0.000342133
41,47.3259,1.53166,1.66603,1.72894,0.00786,0.05769,0.02331,0.01518,2.76327,3.9835,2.82424,0.000345246,0.000345246,0.000345246
42,47.651,1.33777,1.3979,1.62621,0.00786,0.05769,0.02331,0.01518,2.76327,3.9835,2.82424,0.000348077,0.000348077,0.000348077
43,47.9915,1.65441,1.83123,1.67667,0.01166,0.09615,0.02578,0.01617,2.7502,3.96565,2.79256,0.000350625,0.000350625,0.000350625
44,48.3083,1.45982,1.51632,1.48245,0.01166,0.09615,0.02578,0.01617,2.7502,3.96565,2.79256,0.00035289,0.00035289,0.00035289
45,48.6483,1.42404,1.42805,1.66074,0.02023,0.13462,0.03386,0.0207,2.72734,3.92926,2.73602,0.000354872,0.000354872,0.000354872
46,48.9856,1.32826,1.47571,1.56081,0.02023,0.13462,0.03386,0.0207,2.72734,3.92926,2.73602,0.000356571,0.000356571,0.000356571
47,49.3247,1.4756,1.82401,1.57188,0.02421,0.17308,0.04147,0.02562,2.69907,3.90566,2.69593,0.000357987,0.000357987,0.000357987
48,49.6454,1.61857,1.4189,1.3715,0.02421,0.17308,0.04147,0.02562,2.69907,3.90566,2.69593,0.000359121,0.000359121,0.000359121
49,50.0877,1.34163,1.31327,1.54036,0.03221,0.25,0.07329,0.03965,2.64884,3.85151,2.61098,0.000359971,0.000359971,0.000359971
50,50.4248,1.50724,1.77399,1.583,0.03221,0.25,0.07329,0.03965,2.64884,3.85151,2.61098,0.000360538,0.000360538,0.000360538
