epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,25.5368,0.89273,2.33242,1.08187,0.08663,0.48077,0.16283,0.09028,1.2214,3.43783,1.15302,0.000348077,0.000348077,0.000348077
43,25.8921,1.07422,2.51522,1.14571,0.08019,0.46154,0.19251,0.10002,1.25334,3.42555,1.15868,0.000350625,0.000350625,0.000350625
44,26.2362,1.17515,2.51821,1.10939,0.08019,0.46154,0.19251,0.10002,1.25334,3.42555,1.15868,0.00035289,0.00035289,0.00035289
45,26.7077,1.04347,2.19733,1.12943,0.08319,0.5,0.21644,0.09696,1.34478,3.43038,1.19805,0.000354872,0.000354872,0.000354872
46,27.0467,0.99051,2.24111,1.09536,0.08319,0.5,0.21644,0.09696,1.34478,3.43038,1.19805,0.000356571,0.000356571,0.000356571
47,27.4308,0.99913,2.45595,1.07229,0.08355,0.5,0.20703,0.09065,1.33497,3.42803,1.20032,0.000357987,0.000357987,0.000357987
48,27.7721,1.25255,2.24919,1.04202,0.08355,0.5,0.20703,0.09065,1.33497,3.42803,1.20032,0.000359121,0.000359121,0.000359121
49,28.1129,1.04423,2.16055,1.11472,0.08793,0.53846,0.21158,0.086,1.36207,3.40318,1.20705,0.000359971,0.000359971,0.000359971
50,28.4722,1.13875,2.35959,1.13744,0.08793,0.53846,0.21158,0.086,1.36207,3.40318,1.20705,0.000360538,0.000360538,0.000360538
51,28.8296,1.08277,1.93854,1.18134,0.08625,0.51923,0.22489,0.09591,1.41346,3.37513,1.24944,0.000360822,0.000360822,0.000360822
52,29.1842,0.98376,2.10894,1.03518,0.08625,0.51923,0.22489,0.09591,1.41346,3.37513,1.24944,0.000360824,0.000360824,0.000360824
53,29.5336,0.99277,2.05094,1.11455,0.08625,0.51923,0.22489,0.09591,1.41346,3.37513,1.24944,0.000360542,0.000360542,0.000360542
54,29.8898,1.00964,1.89475,1.11486,0.07877,0.5,0.21822,0.10096,1.44937,3.3558,1.26229,0.000359978,0.000359978,0.000359978
55,30.2401,1.01538,2.09619,1.10858,0.07877,0.5,0.21822,0.10096,1.44937,3.3558,1.26229,0.000359131,0.000359131,0.000359131
56,30.5839,1.24223,1.73016,1.36486,0.07877,0.5,0.21822,0.10096,1.44937,3.3558,1.26229,0.000358,0.000358,0.000358
57,31.1064,1.1204,2.55916,1.0917,0.07888,0.5,0.22237,0.10536,1.48125,3.34588,1.26444,0.000356587,0.000356587,0.000356587
58,31.4808,1.1388,2.45611,1.07569,0.07888,0.5,0.22237,0.10536,1.48125,3.34588,1.26444,0.000354891,0.000354891,0.000354891
59,31.8299,1.36095,2.4303,1.09135,0.07888,0.5,0.22237,0.10536,1.48125,3.34588,1.26444,0.000352912,0.000352912,0.000352912
60,32.2045,1.13965,1.83386,1.1332,0.08291,0.53846,0.21554,0.10247,1.53117,3.33594,1.28969,0.000350649,0.000350649,0.000350649
61,32.5429,1.02959,1.96545,1.1055,0.08291,0.53846,0.21554,0.10247,1.53117,3.33594,1.28969,0.000348104,0.000348104,0.000348104
62,32.8932,0.90069,1.79369,1.04394,0.08291,0.53846,0.21554,0.10247,1.53117,3.33594,1.28969,0.000345276,0.000345276,0.000345276
63,33.245,0.86688,1.54282,1.07542,0.0767,0.5,0.20581,0.10069,1.54788,3.32773,1.30361,0.000342165,0.000342165,0.000342165
64,33.595,0.96123,1.41478,1.16002,0.0767,0.5,0.20581,0.10069,1.54788,3.32773,1.30361,0.000338772,0.000338772,0.000338772
65,33.9429,0.91354,1.37177,1.05972,0.0767,0.5,0.20581,0.10069,1.54788,3.32773,1.30361,0.000335095,0.000335095,0.000335095
66,34.2955,0.93186,1.48453,1.13434,0.08001,0.51923,0.20899,0.10655,1.51572,3.32994,1.28438,0.000331135,0.000331135,0.000331135
67,34.6431,0.96644,1.82542,1.02724,0.08001,0.51923,0.20899,0.10655,1.51572,3.32994,1.28438,0.000326892,0.000326892,0.000326892
68,34.9852,0.91733,1.54497,1.06986,0.08001,0.51923,0.20899,0.10655,1.51572,3.32994,1.28438,0.000322367,0.000322367,0.000322367
69,35.3398,0.92769,1.75671,1.07648,0.08069,0.51923,0.2363,0.11311,1.48392,3.32685,1.27723,0.000317558,0.000317558,0.000317558
70,35.7987,0.95713,1.28062,1.17054,0.08069,0.51923,0.2363,0.11311,1.48392,3.32685,1.27723,0.000312467,0.000312467,0.000312467
71,36.1391,1.23892,2.08592,1.01569,0.08069,0.51923,0.2363,0.11311,1.48392,3.32685,1.27723,0.000307092,0.000307092,0.000307092
72,36.5022,0.8576,1.34566,1.10039,0.08002,0.51923,0.23765,0.11112,1.45434,3.31855,1.27351,0.000301435,0.000301435,0.000301435
73,36.8368,1.06644,1.2618,1.02179,0.08002,0.51923,0.23765,0.11112,1.45434,3.31855,1.27351,0.000295494,0.000295494,0.000295494
74,37.1769,0.96507,1.16563,1.16389,0.08002,0.51923,0.23765,0.11112,1.45434,3.31855,1.27351,0.000289271,0.000289271,0.000289271
75,37.5243,1.11144,1.79572,0.99805,0.0804,0.51923,0.23676,0.11444,1.44399,3.31371,1.27074,0.000282765,0.000282765,0.000282765
76,37.8609,1.03926,1.73335,0.99182,0.0804,0.51923,0.23676,0.11444,1.44399,3.31371,1.27074,0.000275976,0.000275976,0.000275976
77,38.222,0.79318,1.08622,1.05755,0.0804,0.51923,0.23676,0.11444,1.44399,3.31371,1.27074,0.000268904,0.000268904,0.000268904
78,38.604,1.13337,1.97809,1.0453,0.07909,0.51923,0.241,0.11582,1.41738,3.29097,1.25526,0.000261548,0.000261548,0.000261548
79,38.9498,1.06784,1.17509,1.02513,0.07909,0.51923,0.241,0.11582,1.41738,3.29097,1.25526,0.00025391,0.00025391,0.00025391
80,39.2957,0.8445,1.23978,1.00305,0.07909,0.51923,0.241,0.11582,1.41738,3.29097,1.25526,0.000245989,0.000245989,0.000245989
81,39.6878,0.97212,1.58152,1.00196,0.07442,0.48077,0.23752,0.11614,1.39144,3.28164,1.24812,0.000237786,0.000237786,0.000237786
82,40.1556,0.99027,1.1979,1.02021,0.07442,0.48077,0.23752,0.11614,1.39144,3.28164,1.24812,0.000229299,0.000229299,0.000229299
83,40.4838,0.8891,1.36315,1.09972,0.07442,0.48077,0.23752,0.11614,1.39144,3.28164,1.24812,0.000220529,0.000220529,0.000220529
84,40.8303,0.90915,1.24608,0.95182,0.08158,0.51923,0.21563,0.12184,1.35305,3.27359,1.23608,0.000211476,0.000211476,0.000211476
85,41.1917,1.0013,1.45745,1.13346,0.08158,0.51923,0.21563,0.12184,1.35305,3.27359,1.23608,0.000202141,0.000202141,0.000202141
86,41.5586,0.95925,1.18452,0.97594,0.08158,0.51923,0.21563,0.12184,1.35305,3.27359,1.23608,0.000192522,0.000192522,0.000192522
87,41.9488,0.85719,1.47402,1.06821,0.08158,0.51923,0.21563,0.12184,1.35305,3.27359,1.23608,0.00018262,0.00018262,0.00018262
88,42.3109,0.87136,1.20042,1.09314,0.08553,0.55769,0.2445,0.12759,1.30945,3.26453,1.22145,0.000172436,0.000172436,0.000172436
89,42.6384,0.87324,1.07211,0.96713,0.08553,0.55769,0.2445,0.12759,1.30945,3.26453,1.22145,0.000161969,0.000161969,0.000161969
90,42.9621,0.89727,1.15952,1.02777,0.08553,0.55769,0.2445,0.12759,1.30945,3.26453,1.22145,0.000151218,0.000151218,0.000151218
91,68.2873,0.7751,1.17628,1.09735,0.08553,0.55769,0.2445,0.12759,1.30945,3.26453,1.22145,0.000140185,0.000140185,0.000140185
92,68.6595,1.13037,1.21267,1.10092,0.08579,0.55769,0.25485,0.1483,1.28547,3.23862,1.21606,0.000128869,0.000128869,0.000128869
93,68.9868,0.78222,1.14545,1.10637,0.08579,0.55769,0.25485,0.1483,1.28547,3.23862,1.21606,0.000117269,0.000117269,0.000117269
94,69.4204,0.91491,1.0609,1.03769,0.08579,0.55769,0.25485,0.1483,1.28547,3.23862,1.21606,0.000105387,0.000105387,0.000105387
95,69.7383,0.72581,0.95775,1.02077,0.08579,0.55769,0.25485,0.1483,1.28547,3.23862,1.21606,9.32222e-05,9.32222e-05,9.32222e-05
96,70.0756,1.15817,1.25045,1.10755,0.08129,0.53846,0.2639,0.16215,1.27611,3.2105,1.21267,8.07742e-05,8.07742e-05,8.07742e-05
97,70.3944,0.95803,1.15842,1.05707,0.08129,0.53846,0.2639,0.16215,1.27611,3.2105,1.21267,6.80433e-05,6.80433e-05,6.80433e-05
98,70.7166,0.94974,1.0381,0.90536,0.08129,0.53846,0.2639,0.16215,1.27611,3.2105,1.21267,5.50294e-05,5.50294e-05,5.50294e-05
99,71.0351,0.85453,1.0027,1.00427,0.08129,0.53846,0.2639,0.16215,1.27611,3.2105,1.21267,4.17325e-05,4.17325e-05,4.17325e-05
100,71.3821,0.71781,0.95055,1.05017,0.08064,0.53846,0.27886,0.18122,1.257,3.18791,1.20601,2.81527e-05,2.81527e-05,2.81527e-05
