epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,32.108,0.96725,2.36515,1.09796,0.07589,0.46154,0.20053,0.11104,1.24455,3.47531,1.16123,0.000348077,0.000348077,0.000348077
43,32.4766,1.15474,2.53507,1.17367,0.07666,0.46154,0.22217,0.13112,1.26067,3.4668,1.16685,0.000350625,0.000350625,0.000350625
44,32.8263,1.19789,2.56457,1.10774,0.07666,0.46154,0.22217,0.13112,1.26067,3.4668,1.16685,0.00035289,0.00035289,0.00035289
45,33.328,1.12551,2.27629,1.19171,0.07425,0.42308,0.2349,0.11681,1.33162,3.4711,1.20422,0.000354872,0.000354872,0.000354872
46,33.6808,1.08657,2.26487,1.16719,0.07425,0.42308,0.2349,0.11681,1.33162,3.4711,1.20422,0.000356571,0.000356571,0.000356571
47,34.071,0.96568,2.44323,1.05645,0.06466,0.38462,0.19448,0.10627,1.39538,3.46738,1.2292,0.000357987,0.000357987,0.000357987
48,34.4931,1.32307,2.30577,1.06142,0.06466,0.38462,0.19448,0.10627,1.39538,3.46738,1.2292,0.000359121,0.000359121,0.000359121
49,34.8502,1.08932,2.2207,1.14732,0.06381,0.34615,0.19033,0.10224,1.43356,3.45483,1.24716,0.000359971,0.000359971,0.000359971
50,35.1849,1.09302,2.37389,1.13422,0.06381,0.34615,0.19033,0.10224,1.43356,3.45483,1.24716,0.000360538,0.000360538,0.000360538
51,35.5527,1.06593,1.95266,1.17945,0.05285,0.30769,0.17897,0.09257,1.41713,3.45034,1.23071,0.000360822,0.000360822,0.000360822
52,35.8998,0.96064,2.16302,1.02761,0.05285,0.30769,0.17897,0.09257,1.41713,3.45034,1.23071,0.000360824,0.000360824,0.000360824
53,36.2344,0.96009,2.06121,1.09866,0.05285,0.30769,0.17897,0.09257,1.41713,3.45034,1.23071,0.000360542,0.000360542,0.000360542
54,36.6371,1.0284,1.90308,1.12862,0.05178,0.30769,0.17924,0.08697,1.42456,3.43315,1.22542,0.000359978,0.000359978,0.000359978
55,36.9923,1.01711,2.1217,1.12596,0.05178,0.30769,0.17924,0.08697,1.42456,3.43315,1.22542,0.000359131,0.000359131,0.000359131
56,37.358,1.32181,1.77893,1.44413,0.05178,0.30769,0.17924,0.08697,1.42456,3.43315,1.22542,0.000358,0.000358,0.000358
57,37.9126,1.14676,2.60668,1.11279,0.07116,0.40385,0.2637,0.10052,1.40664,3.39431,1.19961,0.000356587,0.000356587,0.000356587
58,38.2645,1.08419,2.4234,1.05672,0.07116,0.40385,0.2637,0.10052,1.40664,3.39431,1.19961,0.000354891,0.000354891,0.000354891
59,38.6061,1.33762,2.50545,1.08915,0.07116,0.40385,0.2637,0.10052,1.40664,3.39431,1.19961,0.000352912,0.000352912,0.000352912
60,38.9821,1.16361,1.85111,1.16993,0.07631,0.46154,0.26472,0.11294,1.41373,3.37368,1.21413,0.000350649,0.000350649,0.000350649
61,39.323,1.0069,2.0042,1.08962,0.07631,0.46154,0.26472,0.11294,1.41373,3.37368,1.21413,0.000348104,0.000348104,0.000348104
62,39.6616,0.95903,1.84093,1.0603,0.07631,0.46154,0.26472,0.11294,1.41373,3.37368,1.21413,0.000345276,0.000345276,0.000345276
63,40.0197,0.83839,1.55827,1.0684,0.06677,0.40385,0.25646,0.11288,1.44991,3.34445,1.2359,0.000342165,0.000342165,0.000342165
64,40.36,0.97406,1.38697,1.19604,0.06677,0.40385,0.25646,0.11288,1.44991,3.34445,1.2359,0.000338772,0.000338772,0.000338772
65,40.7167,0.98435,1.43202,1.08716,0.06677,0.40385,0.25646,0.11288,1.44991,3.34445,1.2359,0.000335095,0.000335095,0.000335095
66,41.0831,0.91344,1.54095,1.13554,0.06775,0.40385,0.25117,0.11489,1.49251,3.33956,1.25069,0.000331135,0.000331135,0.000331135
67,41.4351,0.94611,1.85151,1.02176,0.06775,0.40385,0.25117,0.11489,1.49251,3.33956,1.25069,0.000326892,0.000326892,0.000326892
68,41.7787,0.93866,1.60567,1.0755,0.06775,0.40385,0.25117,0.11489,1.49251,3.33956,1.25069,0.000322367,0.000322367,0.000322367
